transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,product_cost,gross_profit
T000571,S06,2025-06-27,Sports,2.0,Activepro,East,59.53,121.7,31.0,2.76,73.19,243.4,119.06,124.34
T000763,S18,2025-02-14,Beauty,2.0,Glow Works,West,17.62,40.84,10.0,,119.32,81.68,35.24,46.440000000000005
T000623,S03,,Electronics,1.0,Northstar,North,235.26,308.8,145.0,4.66,103.05,308.8,235.26,73.54000000000002
T000827,S27,2025-01-06,Grocery,2.0,Freshfarm,West,6.41,10.74,14.0,4.56,125.6,21.48,12.82,8.66
T000175,S01,2025-05-06,Electronics,8.0,Northstar,East,231.33,289.13,48.0,5.34,113.35,2313.04,1850.64,462.39999999999986
T000865,S24,2025-01-04,Electronics,4.0,Northstar,West,254.64,340.15,63.0,3.55,99.26,1360.6,1018.56,342.03999999999996
T001088,S27,2025-01-26,Home,2.0,Budgetsource,West,51.48,100.44,19.0,4.22,134.57,200.88,102.96,97.92
T001320,S03,2025-05-13,Beauty,7.0,Glowworks,North,16.24,32.2,83.0,4.21,86.04,225.40000000000003,113.67999999999999,111.72000000000004
T002753,S18,2025-06-01,Electronics,1.0,Northstar,West,220.57,296.03,50.0,3.75,97.26,296.03,220.57,75.45999999999998
T002610,S28,2025-04-02,Electronics,4.0,Northstar,West,251.66,330.6,20.0,5.68,189.79,1322.4,1006.64,315.7600000000001
T001297,S05,2025-01-07,Apparel,9.0,Stylehub,East,32.07,60.07,76.0,5.06,136.2,540.63,288.63,252.0
T002840,S12,2025-04-04,Home,1.0,Budgetsource,South,54.64,102.4,105.0,3.81,82.44,102.4,54.64,47.760000000000005
T001688,S21,2025-05-21,Sports,1.0,Activepro,North,51.98,109.39,155.0,4.78,105.4,109.39,51.98,57.410000000000004
T001074,S15,2025-06-13,Home,2.0,Budgetsource,East,48.34,83.97,121.0,5.82,149.65,167.94,96.68,71.25999999999999
T002179,S11,2025-05-08,Sports,1.0,Activepro,South,54.9,102.65,146.0,5.51,131.19,102.65,54.9,47.75000000000001
T002172,S23,2025-02-20,Apparel,4.0,Stylehub,South,25.66,45.52,147.0,3.23,77.89,182.08,102.64,79.44000000000001
T002437,S16,2025-04-06,Electronics,3.0,Northstar,South,250.46,302.1,73.0,5.33,108.95,906.3000000000001,751.38,154.92000000000007
T001923,S20,2025-06-22,Apparel,4.0,Stylehub,South,26.07,57.32,24.0,3.73,83.24,229.28,104.28,125.0
T000431,S02,2025-06-02,Apparel,2.0,Stylehub,South,27.89,57.69,123.0,,147.45,115.38,55.78,59.599999999999994
T000267,S05,2025-04-19,Apparel,1.0,Stylehub,East,,67.58,56.0,4.6,105.14,67.58,,
T002391,S22,2025-05-11,Home,3.0,Budgetsource,South,48.11,87.49,20.0,4.48,106.24,262.46999999999997,144.32999999999998,118.13999999999999
T002716,S10,2025-03-22,Apparel,3.0,Stylehub,South,25.13,58.29,40.0,4.08,106.33,174.87,75.39,99.48
T000433,S23,2025-03-08,Electronics,3.0,North Star,South,261.58,358.64,120.0,4.24,120.88,1075.92,784.74,291.18000000000006
T002283,S12,2025-05-05,Home,2.0,Budgetsource,South,39.15,74.58,35.0,4.4,107.59,149.16,78.3,70.86
T000637,S16,2025-01-26,Sporting Goods,3.0,Activepro,South,64.62,112.33,139.0,4.74,105.82,336.99,193.86,143.13
T000861,S07,2025-05-13,Grocery,1.0,Freshfarm,North,7.19,10.82,89.0,4.34,123.55,10.82,7.19,3.63
T000046,S13,2025-01-29,Grocery,3.0,Freshfarm,East,8.95,12.99,68.0,4.06,114.17,38.97,26.849999999999998,12.120000000000001
T002077,S27,2025-02-18,Sports,2.0,Activepro,West,53.37,97.17,0.0,6.96,156.29,194.34,106.74,87.60000000000001
T001249,S18,2025-02-21,Apparel,1.0,Stylehub,West,23.4,44.46,3.0,4.56,121.99,44.46,23.4,21.060000000000002
T000118,S12,2025-01-21,Sports,3.0,Activepro,South,51.85,97.71,70.0,4.82,104.85,293.13,155.55,137.57999999999998
T002434,S26,2025-01-10,Home,1.0,Budgetsource,West,41.19,84.52,1.0,5.49,144.36,84.52,41.19,43.33
T001303,S19,2025-01-06,Apparel,2.0,Stylehub,South,27.26,55.32,87.0,3.29,89.68,110.64,54.52,56.12
T000828,S28,2025-01-14,Beauty,1.0,Glowworks,West,15.93,37.4,25.0,4.08,116.66,37.4,15.93,21.47
T000414,S08,2025-02-08,Electronics,0.0,Northstar,South,251.46,332.67,114.0,4.61,135.92,0.0,0.0,0.0
T002146,S06,2025-01-06,Home,2.0,Budgetsource,East,47.46,83.14,144.0,4.28,89.09,166.28,94.92,71.36
T001548,S04,2025-06-01,Sports,3.0,Activepro,East,51.45,91.78,88.0,3.52,84.3,275.34000000000003,154.35000000000002,120.99000000000001
T002304,S01,2025-06-13,Beauty,2.0,Glowworks,East,19.59,43.74,85.0,5.2,108.74,87.48,39.18,48.300000000000004
T001792,S23,2025-01-10,Sports,3.0,Activepro,South,55.19,96.37,21.0,5.18,97.07,289.11,165.57,123.54000000000002
T001803,S08,2025-06-03,Electronics,3.0,Northstar,South,219.75,307.87,156.0,5.24,132.75,923.61,659.25,264.36
T000518,S15,2025-02-14,Beauty,1.0,Glowworks,East,18.45,41.3,21.0,4.74,108.7,41.3,18.45,22.849999999999998
T000273,S12,2025-05-22,Home,1.0,Budgetsource,South,45.48,88.67,15.0,6.66,195.42,88.67,45.48,43.190000000000005
T001719,S09,2025-01-11,Groceries,4.0,Freshfarm,East,7.05,11.23,64.0,4.59,102.15,44.92,28.2,16.720000000000002
T000683,S14,2025-02-14,Beauty,3.0,Glowworks,West,15.77,37.28,54.0,2.17,56.15,111.84,47.31,64.53
T001915,S27,2025-03-25,Sports,4.0,Activepro,West,51.91,92.08,20.0,5.38,159.75,368.32,207.64,160.68
T000280,S21,2025-05-10,Beauty,1.0,Glowworks,North,,31.92,26.0,6.45,178.93,31.92,,
T002640,S21,2025-06-01,Sports,3.0,Activepro,North,57.29,117.06,56.0,5.29,136.15,351.18,171.87,179.31
T001873,S14,2025-01-25,Apparel,4.0,Stylehub,West,27.03,50.95,40.0,5.47,160.08,203.8,108.12,95.68
T001685,S05,2025-02-26,Apparel,1.0,Stylehub,East,24.95,52.55,44.0,3.1,69.58,52.55,24.95,27.599999999999998
T002755,S28,2025-04-05,Apparel,2.0,Stylehub,West,29.92,57.1,16.0,3.94,106.67,114.2,59.84,54.36
T001286,S29,2025-01-22,Beauty,2.0,Glowworks,West,17.65,38.88,11.0,4.25,131.26,77.76,35.3,42.46000000000001
T001989,S16,2025-01-09,Electronics,3.0,Northstar,South,225.05,324.63,47.0,5.22,162.34,973.89,675.1500000000001,298.7399999999999
T000107,S25,2025-06-23,Beauty,3.0,Glowworks,West,16.83,37.59,34.0,3.09,84.71,112.77000000000001,50.489999999999995,62.280000000000015
T000740,S16,2025-06-27,Grocery,3.0,Freshfarm,South,8.22,12.2,154.0,5.24,138.02,36.599999999999994,24.660000000000004,11.93999999999999
T000288,S04,2025-06-23,Home,3.0,Budgetsource,East,43.3,87.18,134.0,5.64,133.82,261.54,129.89999999999998,131.64000000000004
T002361,S26,2025-05-01,Apparel,2.0,Stylehub,West,27.23,57.06,16.0,3.94,139.14,114.12,54.46,59.660000000000004
T001317,S05,2025-06-29,Grocery,2.0,Freshfarm,East,8.13,13.36,106.0,5.43,125.27,26.72,16.26,10.459999999999997
T001020,S05,2025-02-23,Electronics,3.0,Northstar,East,209.89,268.79,37.0,4.38,120.75,806.3700000000001,629.67,176.70000000000016
T002762,S17,2025-01-27,Apparel,0.0,Stylehub,North,27.3,60.56,145.0,3.24,83.71,0.0,0.0,0.0
T000933,S15,2025-05-03,Apparel,6.0,Stylehub,East,27.53,60.89,153.0,2.79,76.3,365.34000000000003,165.18,200.16000000000003
T000548,S12,2025-01-04,Electronics,3.0,Northstar,South,177.04,239.73,107.0,4.23,104.29,719.1899999999999,531.12,188.06999999999994
T000308,S22,2025-05-28,Grocery,4.0,Freshfarm,South,8.27,12.63,151.0,3.99,117.99,50.52,33.08,17.440000000000005
T000521,S14,2025-04-20,Grocery,2.0,Freshfarm,West,7.89,11.74,39.0,5.42,183.35,23.48,15.78,7.700000000000001
T002038,S11,2025-06-20,Electronics,4.0,Northstar,South,245.84,328.02,108.0,4.52,119.04,1312.08,983.36,328.7199999999999
T002339,S30,2025-01-04,Grocery,7.0,Freshfarm,West,9.39,14.09,32.0,3.05,81.67,98.63,65.73,32.89999999999999
T000602,S16,2025-03-21,Electronics,6.0,Northstar,South,221.06,278.97,95.0,4.05,112.61,1673.8200000000002,1326.3600000000001,347.46000000000004
T001955,S27,2025-01-19,Beauty,1.0,Glowworks,West,18.88,42.46,,5.52,163.15,42.46,18.88,23.580000000000002
T002440,S26,2025-01-19,Apparel,2.0,Stylehub,West,30.89,58.15,49.0,6.16,146.58,116.3,61.78,54.519999999999996
T001032,S02,2025-06-23,Apparel,5.0,Stylehub,South,29.73,62.59,145.0,4.3,98.61,312.95000000000005,148.65,164.30000000000004
T000277,S06,2025-01-27,Beauty,1.0,Glowworks,East,18.4,39.62,83.0,6.58,172.7,39.62,18.4,21.22
T000435,S17,2025-03-06,Grocery,1.0,Freshfarm,North,7.36,10.6,33.0,4.22,112.53,10.6,7.36,3.2399999999999993
T002394,S30,2025-01-19,Grocery,2.0,Freshfarm,West,8.28,11.58,47.0,5.71,155.39,23.16,16.56,6.600000000000001
